Nome Parlamentar	Partido	UF	Titular/Suplente/Efetivado	Endereço	Anexo	Endereço (continuação)	Gabinete	Endereço (complemento)	Telefone	Fax	Mês Aniversário	Dia Aniversário	Correio Eletrônico	Nome sem Acento	Tratamento	Profissões	Nome Civil
JOSE STÉDILE	PSB	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	354	Brasília - DF - CEP 70160-900	3215-5354	3215-2354	08	11	dep.josestedile@camara.leg.br	JOSE STEDILE	Exmo. Senhor Deputado	Administrador Público, Metalúrgico	JOSE LUIZ STÉDILE
JOSI NUNES	PMDB	TO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	950	Brasília - DF - CEP 70160-900	3215-5950	3215-2950	05	10	dep.josinunes@camara.leg.br	JOSI NUNES	Exma. Senhora Deputada	Professora Universitária,psicóloga	JOSINIANE BRAGA NUNES
JOSUÉ BENGTSON	PTB	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	505	Brasília - DF - CEP 70160-900	3215-5505	3215-2505	05	27	dep.josuebengtson@camara.leg.br	JOSUE BENGTSON	Exmo. Senhor Deputado	Pastor Evangélico	JOSUÉ BENGTSON
JOVAIR ARANTES	PTB	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	504	Brasília - DF - CEP 70160-900	3215-5504	3215-2504	06	04	dep.jovairarantes@camara.leg.br	JOVAIR ARANTES	Exmo. Senhor Deputado	Cirurgião-dentista	JOVAIR DE OLIVEIRA ARANTES
JOZI ARAÚJO	PTB	AP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	309	Brasília - DF - CEP 70160-900	3215-5309	3215-2309	03	26	dep.joziaraujo@camara.leg.br	JOZI ARAUJO	Exma. Senhora Deputada		JOZIANE ARAUJO NASCIMENTO ROCHA
JÚLIA MARINHO	PSC	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	707	Brasília - DF - CEP 70160-900	3215-5707	3215-2707	04	11	dep.juliamarinho@camara.leg.br	JULIA MARINHO	Exma. Senhora Deputada		JULIA MARIA GODINHO DA CRUZ MARINHO
JÚLIO CESAR	PSD	PI	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	944	Brasília - DF - CEP 70160-900	3215-5944	3215-2944	08	25	dep.juliocesar@camara.leg.br	JULIO CESAR	Exmo. Senhor Deputado	Professor, Advogado e Produtor Rural	JÚLIO CÉSAR DE CARVALHO LIMA
JÚLIO DELGADO	PSB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	323	Brasília - DF - CEP 70160-900	3215-5323	3215-2323	11	18	dep.juliodelgado@camara.leg.br	JULIO DELGADO	Exmo. Senhor Deputado	Consultor e Advogado	JÚLIO CÉSAR DELGADO
JULIO LOPES	PP	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	544	Brasília - DF - CEP 70160-900	3215-5544	3215-2544	04	06	dep.juliolopes@camara.leg.br	JULIO LOPES	Exmo. Senhor Deputado	Administrador de Empresas, Professor	JULIO LUIZ BAPTISTA LOPES
JUNIOR MARRECA	PEN	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	537	Brasília - DF - CEP 70160-900	3215-5537	3215-2537	03	02	dep.juniormarreca@camara.leg.br	JUNIOR MARRECA	Exmo. Senhor Deputado	Advogado(a)	ANTONIO DA CRUZ FILGUEIRA JUNIOR
JUSCELINO FILHO	PMB	MA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	370	Brasília - DF - CEP 70160-900	3215-5370	3215-2370	11	06	dep.juscelinofilho@camara.leg.br	JUSCELINO FILHO	Exmo. Senhor Deputado	Empresário,médico(a)	JOSE JUSCELINO DOS SANTOS REZENDE FILHO
JUTAHY JUNIOR	PSDB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	407	Brasília - DF - CEP 70160-900	3215-5407	3215-2407	10	14	dep.jutahyjunior@camara.leg.br	JUTAHY JUNIOR	Exmo. Senhor Deputado	Advogado	JUTAHY MAGALHÃES JÚNIOR
KAIO MANIÇOBA	PHS	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	525	Brasília - DF - CEP 70160-900	3215-5525	3215-2525	11	14	dep.kaiomanicoba@camara.leg.br	KAIO MANICOBA	Exmo. Senhor Deputado		KAIO CESAR DE MOURA MANICOBA NOVAES FERRAZ
KEIKO OTA	PSB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	523	Brasília - DF - CEP 70160-900	3215-5523	3215-2523	09	28	dep.keikoota@camara.leg.br	KEIKO OTA	Exma. Senhora Deputada	Empresária, Escritor	IOLANDA KEIKO MIASHIRO OTA
LAERCIO OLIVEIRA	SD	SE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	629	Brasília - DF - CEP 70160-900	3215-5629	3215-2629	04	15	dep.laerciooliveira@camara.leg.br	LAERCIO OLIVEIRA	Exmo. Senhor Deputado	Administrador de Empresas	LAERCIO JOSÉ DE OLIVEIRA
LAERTE BESSA	PR	DF	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	340	Brasília - DF - CEP 70160-900	3215-5340	3215-2340	05	01	dep.laertebessa@camara.leg.br	LAERTE BESSA	Exmo. Senhor Deputado	Delegado de Polícia	LAERTE RODRIGUES DE BESSA
LAUDIVIO CARVALHO	PMDB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	717	Brasília - DF - CEP 70160-900	3215-5717	3215-2717	07	16	dep.laudiviocarvalho@camara.leg.br	LAUDIVIO CARVALHO	Exmo. Senhor Deputado	Jornalista	LAUDIVIO ALVARENGA CARVALHO
LAURA CARNEIRO	PMDB	RJ	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	437	Brasília - DF - CEP 70160-900	3215-5437	3215-2437	05	01	dep.lauracarneiro@camara.leg.br	LAURA CARNEIRO	Exma. Senhora Deputada	Advogada e Servidora Pública Federal	MARIA LAURA MONTEZA DE SOUZA CARNEIRO
LÁZARO BOTELHO	PP	TO	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	478	Brasília - DF - CEP 70160-900	3215-5478	3215-2478	02	11	dep.lazarobotelho@camara.leg.br	LAZARO BOTELHO	Exmo. Senhor Deputado	Empresário, Pecuarista	LÁZARO BOTELHO MARTINS
LEANDRE	PV	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	454	Brasília - DF - CEP 70160-900	3215-5454	3215-2454	12	20	dep.leandre@camara.leg.br	LEANDRE	Exma. Senhora Deputada	Engenheira Civil	LEANDRE DAL PONTE
LELO COIMBRA	PMDB	ES	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	801	Brasília - DF - CEP 70160-900	3215-5801	3215-2801	06	21	dep.lelocoimbra@camara.leg.br	LELO COIMBRA	Exmo. Senhor Deputado	Médico	WELINGTON COIMBRA
LEO DE BRITO	PT	AC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	619	Brasília - DF - CEP 70160-900	3215-5619	3215-2619	04	13	dep.leodebrito@camara.leg.br	LEO DE BRITO	Exmo. Senhor Deputado	Advogado(a),professor de Direito	LEONARDO CUNHA DE BRITO
LEONARDO MONTEIRO	PT	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	922	Brasília - DF - CEP 70160-900	3215-5922	3215-2922	10	09	dep.leonardomonteiro@camara.leg.br	LEONARDO MONTEIRO	Exmo. Senhor Deputado	Advogado	JOSÉ LEONARDO COSTA MONTEIRO
LEONARDO PICCIANI	PMDB	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	302	Brasília - DF - CEP 70160-900	3215-5302	3215-2302	11	06	dep.leonardopicciani@camara.leg.br	LEONARDO PICCIANI	Exmo. Senhor Deputado	Agropecuarista e Bacharel de Direito.	LEONARDO CARNEIRO MONTEIRO PICCIANI
LEONARDO QUINTÃO	PMDB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	914	Brasília - DF - CEP 70160-900	3215-5914	3215-2914	04	01	dep.leonardoquintao@camara.leg.br	LEONARDO QUINTAO	Exmo. Senhor Deputado	Empresário	LEONARDO LEMOS BARROS QUINTÃO
LEÔNIDAS CRISTINO	PROS	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	948	Brasília - DF - CEP 70160-900	3215-5948	3215-2948	06	03	dep.leonidascristino@camara.leg.br	LEONIDAS CRISTINO	Exmo. Senhor Deputado	Engenheiro Civil.	JOSÉ LEÔNIDAS DE MENEZES CRISTINO
LEOPOLDO MEYER	PSB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	233	Brasília - DF - CEP 70160-900	3215-5233	3215-2233	11	29	dep.leopoldomeyer@camara.leg.br	LEOPOLDO MEYER	Exmo. Senhor Deputado	Engenheiro Civil	LEOPOLDO COSTA MEYER
LINCOLN PORTELA	PR	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	615	Brasília - DF - CEP 70160-900	3215-5615	3215-2615	11	03	dep.lincolnportela@camara.leg.br	LINCOLN PORTELA	Exmo. Senhor Deputado	Radialista e Comunicador.	LINCOLN DINIZ PORTELA
LINDOMAR GARÇON	PMDB	RO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	548	Brasília - DF - CEP 70160-900	3215-5548	3215-2548	10	18	dep.lindomargarcon@camara.leg.br	LINDOMAR GARCON	Exmo. Senhor Deputado	Comerciante	LINDOMAR BARBOSA ALVES
LOBBE NETO	PSDB	SP	S	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	275	Brasília - DF - CEP 70160-900	3215-5275	3215-2275	06	18	dep.lobbeneto@camara.leg.br	LOBBE NETO	Exmo. Senhor Deputado	Biomedico	ANTONIO ADOLPHO LOBBE NETO
LUCAS VERGILIO	SD	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	816	Brasília - DF - CEP 70160-900	3215-5816	3215-2816	04	08	dep.lucasvergilio@camara.leg.br	LUCAS VERGILIO	Exmo. Senhor Deputado	Administrador de Empresas,corretor de Seguros	LUCAS DE CASTRO SANTOS
LUCIANA SANTOS	PCdoB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	524	Brasília - DF - CEP 70160-900	3215-5524	3215-2524	12	29	dep.lucianasantos@camara.leg.br	LUCIANA SANTOS	Exma. Senhora Deputada	Engenheiro Elétrico	LUCIANA BARBOSA DE OLIVEIRA SANTOS
LUCIANO DUCCI	PSB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	427	Brasília - DF - CEP 70160-900	3215-5427	3215-2427	03	23	dep.lucianoducci@camara.leg.br	LUCIANO DUCCI	Exmo. Senhor Deputado	Médico(a)	LUCIANO DUCCI
LUCIO MOSQUINI	PMDB	RO	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	581	Brasília - DF - CEP 70160-900	3215-5581	3215-2581	07	23	dep.luciomosquini@camara.leg.br	LUCIO MOSQUINI	Exmo. Senhor Deputado	Engenheiro Eletricista	LUCIO ANTONIO MOSQUINI
LÚCIO VALE	PR	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	822	Brasília - DF - CEP 70160-900	3215-5822	3215-2822	12	27	dep.luciovale@camara.leg.br	LUCIO VALE	Exmo. Senhor Deputado	Administrador de Empresas	LÚCIO DUTRA VALE
LUCIO VIEIRA LIMA	PMDB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	612	Brasília - DF - CEP 70160-900	3215-5612	3215-2612	11	19	dep.luciovieiralima@camara.leg.br	LUCIO VIEIRA LIMA	Exmo. Senhor Deputado	Cacauicultor, Engenheiro Agrônomo, Pecuarista	LÚCIO QUADROS VIEIRA LIMA
LUIS CARLOS HEINZE	PP	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	526	Brasília - DF - CEP 70160-900	3215-5526	3215-2526	09	14	dep.luiscarlosheinze@camara.leg.br	LUIS CARLOS HEINZE	Exmo. Senhor Deputado	Engenheiro Agrônomo e Produtor Rural	LUIS CARLOS HEINZE
LUIS TIBÉ	PTdoB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	632	Brasília - DF - CEP 70160-900	3215-5632	3215-2632	07	23	dep.luistibe@camara.leg.br	LUIS TIBE	Exmo. Senhor Deputado		LUIS HENRIQUE DE OLIVEIRA RESENDE
LUIZ CARLOS BUSATO	PTB	RS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	570	Brasília - DF - CEP 70160-900	3215-5570	3215-2570	11	06	dep.luizcarlosbusato@camara.leg.br	LUIZ CARLOS BUSATO	Exmo. Senhor Deputado	Arquiteto, Corretor de Imóveis	LUIZ CARLOS GHIORZZI BUSATO
LUIZ CARLOS HAULY	PSDB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	220	Brasília - DF - CEP 70160-900	3215-5220	3215-2220	10	08	dep.luizcarloshauly@camara.leg.br	LUIZ CARLOS HAULY	Exmo. Senhor Deputado	Economista e Professor	LUIZ CARLOS JORGE HAULY
LUIZ CARLOS RAMOS	PMB	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	636	Brasília - DF - CEP 70160-900	3215-5636	3215-2636	06	08	dep.luizcarlosramos@camara.leg.br	LUIZ CARLOS RAMOS	Exmo. Senhor Deputado		LUIZ CARLOS RAMOS
LUIZ CLÁUDIO	PR	RO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	643	Brasília - DF - CEP 70160-900	3215-5643	3215-2643	08	21	dep.luizclaudio@camara.leg.br	LUIZ CLAUDIO	Exmo. Senhor Deputado	Professor(a),técnico Agrícola	LUIZ CLAUDIO PEREIRA ALVES
LUIZ COUTO	PT	PB	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	442	Brasília - DF - CEP 70160-900	3215-5442	3215-2442	02	13	dep.luizcouto@camara.leg.br	LUIZ COUTO	Exmo. Senhor Deputado	Professor Adjunto	LUIZ ALBUQUERQUE COUTO
LUIZ FERNANDO FARIA	PP	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	832	Brasília - DF - CEP 70160-900	3215-5832	3215-2832	09	12	dep.luizfernandofaria@camara.leg.br	LUIZ FERNANDO FARIA	Exmo. Senhor Deputado	Engenheiro Mecânico, Agropecuarista, Empresário - Administração	LUIZ FERNANDO RAMOS FARIA
LUIZ LAURO FILHO	PSB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	519	Brasília - DF - CEP 70160-900	3215-5519	3215-2519	06	10	dep.luizlaurofilho@camara.leg.br	LUIZ LAURO FILHO	Exmo. Senhor Deputado	Publicitário	LUIZ LAURO FERREIRA FILHO
LUIZ NISHIMORI	PR	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	907	Brasília - DF - CEP 70160-900	3215-5907	3215-2907	04	09	dep.luiznishimori@camara.leg.br	LUIZ NISHIMORI	Exmo. Senhor Deputado		LUIZ HILOSHI NISHIMORI
LUIZ SÉRGIO	PT	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	409	Brasília - DF - CEP 70160-900	3215-5409	3215-2409	04	09	dep.luizsergio@camara.leg.br	LUIZ SERGIO	Exmo. Senhor Deputado	Delineador Naval	LUIZ SÉRGIO NÓBREGA DE OLIVEIRA
LUIZA ERUNDINA	PSB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	620	Brasília - DF - CEP 70160-900	3215-5620	3215-2620	11	30	dep.luizaerundina@camara.leg.br	LUIZA ERUNDINA	Exma. Senhora Deputada	Assistente Social	LUIZA ERUNDINA DE SOUSA
LUIZIANNE LINS	PT	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	713	Brasília - DF - CEP 70160-900	3215-5713	3215-2713	11	18	dep.luiziannelins@camara.leg.br	LUIZIANNE LINS	Exma. Senhora Deputada	Professora Universitária	LUIZIANNE DE OLIVEIRA LINS
MACEDO	PSL	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	214	Brasília - DF - CEP 70160-900	3215-5214	3215-2214	05	28	dep.macedo@camara.leg.br	MACEDO	Exmo. Senhor Deputado	Empresário	JOSE MARIA MACEDO JUNIOR
MAGDA MOFATTO	PR	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	934	Brasília - DF - CEP 70160-900	3215-5934	3215-2934	10	26	dep.magdamofatto@camara.leg.br	MAGDA MOFATTO	Exma. Senhora Deputada		MAGDA MOFATTO HON
MAINHA	SD	PI	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	624	Brasília - DF - CEP 70160-900	3215-5624	3215-2624	07	31	dep.mainha@camara.leg.br	MAINHA	Exmo. Senhor Deputado		JOSÉ DE ANDRADE MAIA FILHO
MAJOR OLIMPIO	PMB	SP	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	279	Brasília - DF - CEP 70160-900	3215-5279	3215-2279	03	20	dep.majorolimpio@camara.leg.br	MAJOR OLIMPIO	Exmo. Senhor Deputado		SERGIO OLIMPIO GOMES
MANDETTA	DEM	MS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	577	Brasília - DF - CEP 70160-900	3215-5577	3215-2577	11	30	dep.mandetta@camara.leg.br	MANDETTA	Exmo. Senhor Deputado	Médico	LUIZ HENRIQUE MANDETTA
MANOEL JUNIOR	PMDB	PB	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	601	Brasília - DF - CEP 70160-900	3215-5601	3215-2601	02	21	dep.manoeljunior@camara.leg.br	MANOEL JUNIOR	Exmo. Senhor Deputado	Médico	MANOEL ALVES DA SILVA JUNIOR
MARA GABRILLI	PSDB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	226	Brasília - DF - CEP 70160-900	3215-5226	3215-2226	09	28	dep.maragabrilli@camara.leg.br	MARA GABRILLI	Exma. Senhora Deputada	Psicóloga, Publicitária	MARA CRISTINA GABRILLI
MARCELO AGUIAR	DEM	SP	S	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	367	Brasília - DF - CEP 70160-900	3215-5367	3215-2367	09	16	dep.marceloaguiar@camara.leg.br	MARCELO AGUIAR	Exmo. Senhor Deputado	Músico	MARCELO THEODORO DE AGUIAR
MARCELO ÁLVARO ANTÔNIO	PMB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	824	Brasília - DF - CEP 70160-900	3215-5824	3215-2824	02	16	dep.marceloalvaroantonio@camara.leg.br	MARCELO ALVARO ANTONIO	Exmo. Senhor Deputado	Empresário	MARCELO HENRIQUE TEIXEIRA DIAS
MARCELO ARO	PHS	MG	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	280	Brasília - DF - CEP 70160-900	3215-5280	3215-2280	06	12	dep.marceloaro@camara.leg.br	MARCELO ARO	Exmo. Senhor Deputado	Jornalista	MARCELO GUILHERME DE ARO FERREIRA
MARCELO BELINATI	PP	PR	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	268	Brasília - DF - CEP 70160-900	3215-5268	3215-2268	07	22	dep.marcelobelinati@camara.leg.br	MARCELO BELINATI	Exmo. Senhor Deputado	Advogado(a),médico(a)	MARCELO BELINATI MARTINS
MARCELO MATOS	PDT	RJ	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	579	Brasília - DF - CEP 70160-900	3215-5579	3215-2579	05	26	dep.marcelomatos@camara.leg.br	MARCELO MATOS	Exmo. Senhor Deputado	Empresário	MARCELO VIVIANI GONÇALVES
MARCELO SQUASSONI	PRB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	550	Brasília - DF - CEP 70160-900	3215-5550	3215-2550	09	14	dep.marcelosquassoni@camara.leg.br	MARCELO SQUASSONI	Exmo. Senhor Deputado	Bacharel Em Direito	MARCELO SQUASSONI
MARCIO ALVINO	PR	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	331	Brasília - DF - CEP 70160-900	3215-5331	3215-2331	06	14	dep.marcioalvino@camara.leg.br	MARCIO ALVINO	Exmo. Senhor Deputado	Administrador	MARCIO LUIZ ALVINO DE SOUZA
MÁRCIO BIOLCHI	PMDB	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	843	Brasília - DF - CEP 70160-900	3215-5843	3215-2843	05	23	dep.marciobiolchi@camara.leg.br	MARCIO BIOLCHI	Exmo. Senhor Deputado		MARCIO DELLA VALLE BIOLCHI
MÁRCIO MARINHO	PRB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	326	Brasília - DF - CEP 70160-900	3215-5326	3215-2326	12	12	dep.marciomarinho@camara.leg.br	MARCIO MARINHO	Exmo. Senhor Deputado	Radialista	MÁRCIO CARLOS MARINHO
MARCO MAIA	PT	RS	T	Câmara dos Deputados, Edifício Anexo	1	, gabinete nº	28	Brasília - DF - CEP 70160-900	3215-5964	3215-2964	12	27	dep.marcomaia@camara.leg.br	MARCO MAIA	Exmo. Senhor Deputado	Industriário (metalúrgico)	MARCO AURÉLIO SPALL MAIA
MARCO TEBALDI	PSDB	SC	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	284	Brasília - DF - CEP 70160-900	3215-5284	3215-2284	01	31	dep.marcotebaldi@camara.leg.br	MARCO TEBALDI	Exmo. Senhor Deputado	Engenheiro, Funcionário Público	MARCO ANTONIO TEBALDI
MARCON	PT	RS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	569	Brasília - DF - CEP 70160-900	3215-5569	3215-2569	09	21	dep.marcon@camara.leg.br	MARCON	Exmo. Senhor Deputado	Agricultor	DIONILSO MATEUS MARCON
MARCONDES GADELHA	PSC	PB	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	611	Brasília - DF - CEP 70160-900	3215-5611	3215-2611	06	23	dep.marcondesgadelha@camara.leg.br	MARCONDES GADELHA	Exmo. Senhor Deputado	Médico	MARCONDES IRAN BENEVIDES GADELHA
MARCOS ABRÃO	PPS	GO	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	375	Brasília - DF - CEP 70160-900	3215-5375	3215-2375	02	15	dep.marcosabrao@camara.leg.br	MARCOS ABRAO	Exmo. Senhor Deputado	Economista,empresário Na Área Pecuarista	MARCOS ABRAO RORIZ SOARES DE CARVALHO
MARCOS MONTES	PSD	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	334	Brasília - DF - CEP 70160-900	3215-5334	3215-2334	08	03	dep.marcosmontes@camara.leg.br	MARCOS MONTES	Exmo. Senhor Deputado	Médico, Professor de Medicina, Médico do Trabalho	MARCOS MONTES CORDEIRO
MARCOS REATEGUI	PSC	AP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	344	Brasília - DF - CEP 70160-900	3215-5344	3215-2344	10	06	dep.marcosreategui@camara.leg.br	MARCOS REATEGUI	Exmo. Senhor Deputado		MARCOS JOSE REATEGUI SOUZA
MARCOS ROGÉRIO	PDT	RO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	930	Brasília - DF - CEP 70160-900	3215-5930	3215-2930	07	07	dep.marcosrogerio@camara.leg.br	MARCOS ROGERIO	Exmo. Senhor Deputado		MARCOS ROGÉRIO DA SILVA BRITO
MARCOS ROTTA	PMDB	AM	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	333	Brasília - DF - CEP 70160-900	3215-5333	3215-2333	03	11	dep.marcosrotta@camara.leg.br	MARCOS ROTTA	Exmo. Senhor Deputado	Jornalista,publicitário	MARCOS SERGIO ROTTA
MARCOS SOARES	PR	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	741	Brasília - DF - CEP 70160-900	3215-5741	3215-2741	05	16	dep.marcossoares@camara.leg.br	MARCOS SOARES	Exmo. Senhor Deputado	Advogado(a)	MARCOS BEZERRA RIBEIRO SOARES
MARCUS PESTANA	PSDB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	715	Brasília - DF - CEP 70160-900	3215-5715	3215-2715	06	13	dep.marcuspestana@camara.leg.br	MARCUS PESTANA	Exmo. Senhor Deputado	Economista, Professor Universitário	MARCUS VINÍCIUS CAETANO PESTANA DA SILVA
MARCUS VICENTE	PP	ES	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	360	Brasília - DF - CEP 70160-900	3215-5360	3215-2360	04	28	dep.marcusvicente@camara.leg.br	MARCUS VICENTE	Exmo. Senhor Deputado	Advogado	MARCUS ANTÔNIO VICENTE
MARGARIDA SALOMÃO	PT	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	236	Brasília - DF - CEP 70160-900	3215-5236	3215-2236	06	10	dep.margaridasalomao@camara.leg.br	MARGARIDA SALOMAO	Exma. Senhora Deputada		MARIA MARGARIDA MARTINS SALOMÃO
MARIA DO ROSÁRIO	PT	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	312	Brasília - DF - CEP 70160-900	3215-5312	3215-2312	11	22	dep.mariadorosario@camara.leg.br	MARIA DO ROSARIO	Exma. Senhora Deputada	Professora	MARIA DO ROSÁRIO NUNES
MARIA HELENA	PSB	RR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	410	Brasília - DF - CEP 70160-900	3215-5410	3215-2410	06	15	dep.mariahelena@camara.leg.br	MARIA HELENA	Exma. Senhora Deputada	Advogada	MARIA HELENA VERONESE RODRIGUES
MARIANA CARVALHO	PSDB	RO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	508	Brasília - DF - CEP 70160-900	3215-5508	3215-2508	11	26	dep.marianacarvalho@camara.leg.br	MARIANA CARVALHO	Exma. Senhora Deputada	Bacharela Em Direito,médica	MARIANA FONSECA RIBEIRO CARVALHO DE MORAES
MARINALDO ROSENDO	PSB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	827	Brasília - DF - CEP 70160-900	3215-5827	3215-2827	11	01	dep.marinaldorosendo@camara.leg.br	MARINALDO ROSENDO	Exmo. Senhor Deputado	Empresário	MARINALDO ROSENDO DE ALBUQUERQUE
MARINHA RAUPP	PMDB	RO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	614	Brasília - DF - CEP 70160-900	3215-5614	3215-2614	11	23	dep.marinharaupp@camara.leg.br	MARINHA RAUPP	Exma. Senhora Deputada	Psicóloga, Técnica Em Assuntos Educacionais, Professora e Servidora Pública	MARINHA CÉLIA ROCHA RAUPP DE MATOS
MÁRIO HERINGER	PDT	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	211	Brasília - DF - CEP 70160-900	3215-5211	3215-2211	09	30	dep.marioheringer@camara.leg.br	MARIO HERINGER	Exmo. Senhor Deputado	Medico	MÁRIO LÚCIO HERINGER
MÁRIO NEGROMONTE JR.	PP	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	517	Brasília - DF - CEP 70160-900	3215-5517	3215-2517	08	31	dep.marionegromontejr@camara.leg.br	MARIO NEGROMONTE JR.	Exmo. Senhor Deputado	Bacharel Em Direito	MARIO SILVIO MENDES NEGROMONTE JUNIOR
MARQUINHO MENDES	PMDB	RJ	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	727	Brasília - DF - CEP 70160-900	3215-5727	3215-2727	02	27	dep.marquinhomendes@camara.leg.br	MARQUINHO MENDES	Exmo. Senhor Deputado		MARCOS DA ROCHA MENDES
